Date,Start,End,Venue,Address,Category,Description,URL,,,
12/25/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
5/4/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
5/11/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
5/15/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
5/25/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
6/1/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
6/5/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
6/15/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
6/22/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
6/26/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
10/6/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
10/13/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
10/20/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
10/27/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
11/3/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
11/10/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
11/17/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
11/24/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
12/1/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
12/5/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
12/15/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
12/22/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
12/26/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Katie,http://oldtownsaloonclovis.com/event-schedule/,,,
5/5/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
5/12/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
5/16/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
5/26/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
6/2/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
6/6/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
6/16/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
6/23/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
6/30/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
10/7/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
10/14/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
10/21/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
10/25/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
11/4/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
11/11/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
11/15/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
11/25/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
12/2/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
12/6/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
12/16/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
12/23/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
12/30/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Live Music,College Night - DJ Chops,http://oldtownsaloonclovis.com/event-schedule/,,,
5/5/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
5/15/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
5/22/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
5/26/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
6/5/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
6/12/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
6/16/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
6/26/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
10/3/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
10/10/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
10/17/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
10/24/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
10/31/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
11/7/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
11/14/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
11/21/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
11/25/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
12/5/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
12/12/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
12/16/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
12/26/2025,7:00 PM,9:00 PM,Goldstein’s Mortuary & Delicatessen,"4542 N First St, Fresno, CA 93726, United States",Karaoke,Karaoke Night,https://goldsteinsbeer.com/events/,,,
5/5/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
5/15/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
5/22/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
5/26/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
6/5/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
6/12/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
6/16/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
6/26/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
10/3/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
10/10/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
10/17/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
10/24/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
10/31/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
11/7/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
11/14/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
11/21/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
11/25/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
12/5/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
12/12/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
12/16/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
12/26/2025,8:00 PM,12:30 AM,Pressbox Sports Grill 1,"6022 N Figarden Dr, North of Bullard Ave.",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
5/6/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
5/16/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
5/23/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
5/30/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
6/6/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
6/13/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
6/20/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
6/27/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
10/4/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
10/11/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
10/15/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
10/25/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
11/1/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
11/5/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
11/15/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
11/22/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
11/26/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
12/6/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
12/13/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
12/20/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
12/27/2025,9:00 PM,12:30 AM,Pressbox Sports Grill 2,"1785 Herndon Ave, Clovis, CA 93611",Karaoke,Karaoke Nightw With DJ James,https://pressboxfresno.com/events/,,,
5/11/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
5/15/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
5/25/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
6/1/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
6/5/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
6/15/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
6/22/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
6/26/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
10/6/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
10/13/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
10/20/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
10/27/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
11/3/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
11/10/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
11/17/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
11/24/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
12/1/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
12/5/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
12/15/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
12/22/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
12/26/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Karaoke,Karaoke Nightw With With DJ 808,https://pressboxfresno.com/events/,,,
5/6/2025,9:00 PM,12:00 AM,Pressbox Sports Grill 3,1552 E Champlain Dr North of East Shepard Ave,Live Music,Friday Live Night,https://pressboxfresno.com/events/,,,
